k,part_R.time,part_C.time,part_fast.time
2,0.3400000003166497,0.22000000020489097,0
2,0.3300000000745058,0.21999999973922968,0
2,0.31000000005587935,0.22999999998137355,0
2,0.31999999983236194,0.22000000020489097,0
2,0.31000000005587935,0.21999999973922968,0
2,0.3300000000745058,0.22999999998137355,0
2,0.31000000005587935,0.21999999973922968,0
2,0.3300000000745058,0.22000000020489097,0
2,0.31999999983236194,0.2099999999627471,0
2,0.43999999994412065,0.21999999973922968,0
3,0.7099999999627471,0.4599999999627471,0
3,0.7199999997392297,0.4299999997019768,0
3,0.6999999997206032,0.4299999997019768,0
3,0.7199999997392297,0.43999999994412065,0
3,0.7099999999627471,0.4500000001862645,0
3,0.7199999997392297,0.4500000001862645,0
3,0.7099999999627471,0.43000000016763806,0
3,0.7400000002235174,0.43000000016763806,0
3,0.7400000002235174,0.43999999994412065,0
3,0.7099999999627471,0.43999999994412065,0
4,1.290000000037253,0.6700000003911555,0
4,1.2000000001862643,0.6699999999254942,0
4,0.8699999996460974,0.43999999994412065,0
4,1.1899999999441206,0.6899999999441206,0
4,1.1700000003911557,0.6800000001676381,0
4,1.0899999998509884,0.6499999999068677,0
4,1.1899999999441206,0.6499999999068677,0
4,1.2800000002607703,0.6699999999254942,0
4,1.209999999962747,0.6400000001303852,0
4,1.1400000001303852,0.6600000001490116,0
5,1.5799999996088443,0.8799999998882413,0
5,1.5900000003166497,0.8900000001303852,0
5,1.3799999998882413,0.779999999795109,0
5,1.540000000037253,0.8999999999068677,0
5,1.6699999999254942,0.9100000001490116,0
5,1.5899999998509884,0.9100000001490116,0
5,1.5800000000745058,0.8999999999068677,0
5,1.3900000001303852,0.8000000002793968,0
5,1.25,0.6699999999254942,0
5,1.3900000001303852,0.6800000001676381,0
6,1.8300000000745056,0.9199999999254942,0
6,1.75,0.8999999999068677,0
6,1.7999999998137357,0.8899999996647239,0
6,2.330000000074506,1.139999999664724,0
6,1.860000000335276,0.9199999999254942,0
6,1.7000000001862643,0.9199999999254942,0
6,1.3900000001303852,0.6899999999441206,0
6,1.959999999962747,0.9100000001490116,0
6,1.4099999996833503,0.6699999999254942,0
6,1.3900000001303852,0.6899999999441206,0
7,2.040000000037253,0.9399999999441206,0
7,2.0700000002980232,0.930000000167638,0
7,2.3100000000558794,1.180000000167638,0
7,2.279999999795109,1.1699999999254942,0
7,1.9199999999254944,0.9100000001490116,0
7,2.0200000000186265,0.9199999999254942,0
7,2.3799999998882413,1.1400000001303852,0
7,1.970000000204891,0.930000000167638,0
7,1.9799999999813735,0.940000000409782,0
7,2.2199999997392297,1.25,0
8,2.5300000002607703,1.1600000001490116,0
8,2.4699999997392297,1.1499999999068675,0
8,1.6700000003911557,0.6899999999441206,0
8,3.169999999925494,1.6400000001303852,0
8,2.5200000000186265,1.180000000167638,0
